Country:text,55 - 59 dB:number,60 - 64 dB:number,65 - 69 dB:number,70 - 74 dB:number,greater than 75 dB:number,sum:number
Austria,21.33,14.44,8.11,1.94,0.13,45.95
Belgium,33.25,23.49,16.71,9.13,1.38,83.95
Bulgaria,22.21,34.39,21.13,5.36,0.38,83.47
Croatia,18.14,12.54,5.74,0.86,0.02,37.3
Cyprus,13.61,71.5,7.09,5.18,0.39,97.78
Czech Republic,33.45,20.72,11.44,5.82,0.44,71.86
Denmark,23.7,15.71,11.22,5.72,0.25,56.6
Estonia,18.09,22.82,15.3,4.73,0.29,61.23
Finland,17.38,13.78,6.51,2.02,0.07,39.75
France,10.61,10.22,7.9,3.29,0.57,32.59
Germany,10.39,6.77,4.78,2.06,0.27,24.27
Hungary,12.41,13.29,12.18,2.99,0.11,40.98
Ireland,25.04,12.13,10.64,6.69,0.95,55.44
Italy,14.83,19.83,16.74,11.12,3.79,66.31
Latvia,20.31,28.65,21.82,8.25,0.76,79.78
Lithuania,26.41,22.45,13.93,4.22,0.5,67.52
Luxembourg,28.74,26.2,14.03,5.67,0.07,74.72
Malta,6.04,4.59,5.22,1.85,0.33,18.04
Netherlands,17.63,13.94,6.32,0.53,0.0,38.42
Poland,20.72,16.54,11.1,5.0,0.92,54.27
Portugal,15.4,13.62,9.64,2.5,0.22,41.37
Romania,11.21,17.39,15.99,5.54,1.64,51.76
Slovakia,21.53,15.75,8.74,2.67,1.11,49.8
Slovenia,19.84,17.95,14.28,2.9,0.03,54.99
Spain,18.96,22.22,17.08,8.64,1.4,68.3
Sweden,19.15,9.92,5.37,1.18,0.19,35.81
United Kingdom,11.74,5.08,4.28,3.0,0.4,24.5
EU-28,14.78,12.45,8.92,4.18,0.76,41.08
